k,method,cohort,metric,users,mean,ci95_low,ci95_high,users_total,users_valid,observations_total,observations_valid,movies_total,movies_valid,comparable_pairs_total,comparable_pairs_valid,reference_pairs_total,reference_pairs_valid,status
1,SUPPORT__GBT,common_k30,pa,68,0.6427838100491268,0.5618423689486057,0.7192928855837574,113,68,450,396,309,289,1651,1651,2137,2124,DESCRIPTIVE
1,SUPPORT__GBT,common_k30,als_mae,113,0.848762882763825,0.7412946534938677,0.9594616615495221,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,SUPPORT__GBT,common_k30,als_order,74,0.6129067611657198,0.5349875151024577,0.6897201162642339,113,74,450,411,309,298,1651,1651,2137,2137,DESCRIPTIVE
1,SUPPORT__GBT,common_k30,outside_scale,113,0.0,0.0,0.0,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,SUPPORT__RIDGE,eligible_k,mse,118,0.8535090622303095,0.6779106424151982,1.046380956326249,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,SUPPORT__RIDGE,eligible_k,mae,118,0.7062071107740776,0.6243720282362,0.7906221397399062,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,SUPPORT__RIDGE,eligible_k,pa,72,0.6091092285085807,0.5297605191875967,0.6864430936010538,118,72,482,427,317,299,1804,1804,2361,2348,DESCRIPTIVE
1,SUPPORT__RIDGE,eligible_k,als_mae,118,0.8160952576957202,0.7166636039757273,0.9214597814872014,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,SUPPORT__RIDGE,eligible_k,als_order,78,0.6376720975358308,0.5669111020146671,0.7058668119478112,118,78,482,442,317,307,1804,1804,2361,2361,DESCRIPTIVE
1,SUPPORT__RIDGE,eligible_k,outside_scale,118,0.0,0.0,0.0,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,SUPPORT__RIDGE,common_k30,mse,113,0.8600258276049675,0.6780316561585563,1.0626624175652994,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,SUPPORT__RIDGE,common_k30,mae,113,0.7055472483226689,0.6212549187649149,0.7948658549696008,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,SUPPORT__RIDGE,common_k30,pa,68,0.5934219095506356,0.510347536040122,0.6734991326739992,113,68,450,396,309,289,1651,1651,2137,2124,DESCRIPTIVE
1,SUPPORT__RIDGE,common_k30,als_mae,113,0.8304304221001474,0.7253243443627261,0.9384603755273943,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,SUPPORT__RIDGE,common_k30,als_order,74,0.650519237943173,0.5804384751976029,0.717735321335727,113,74,450,411,309,298,1651,1651,2137,2137,DESCRIPTIVE
1,SUPPORT__RIDGE,common_k30,outside_scale,113,0.0,0.0,0.0,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
5,ALS,eligible_k,mse,117,0.8499520045580267,0.6709904562566944,1.056418550594598,117,117,461,461,312,312,1664,1664,2151,2151,DESCRIPTIVE
5,ALS,eligible_k,mae,117,0.7069238845102213,0.6249081440358104,0.7969935730940039,117,117,461,461,312,312,1664,1664,2151,2151,DESCRIPTIVE
5,ALS,eligible_k,pa,71,0.6399591671559586,0.5513641426236449,0.7238210246770365,117,71,461,406,312,292,1664,1664,2151,2138,DESCRIPTIVE
5,ALS,eligible_k,als_mae,117,0.0,0.0,0.0,117,117,461,461,312,312,1664,1664,2151,2151,DESCRIPTIVE
