role,k,method,metric,original_user_macro,observed_cell_equal_mean,adequate_cell_equal_mean,observed_cells,adequate_cells,intended_cells
validation,10,FM,mae,0.7498611942435511,0.7472951745675386,0.7472951745675386,12,12,24
validation,10,FM,pair_accuracy,0.5682258355150877,0.5631482255787169,0.5631482255787169,12,12,24
validation,10,FM,direct_rate,0.5550853576076213,0.75,0.75,12,12,24
validation,10,GBT,mse,0.8822820606158333,0.9148194902791809,0.9148194902791809,12,12,24
validation,10,GBT,mae,0.7213973666513613,0.7283189939581086,0.7283189939581086,12,12,24
validation,10,GBT,pair_accuracy,0.5666381397491013,0.5600476638575359,0.5600476638575359,12,12,24
validation,10,GBT,direct_rate,0.5550853576076213,0.75,0.75,12,12,24
validation,10,RIDGE,mse,0.9765280673510304,1.0215438997280724,1.0215438997280724,12,12,24
validation,10,RIDGE,mae,0.7715754723251713,0.7870954794212851,0.7870954794212851,12,12,24
validation,10,RIDGE,pair_accuracy,0.5742314594430902,0.5684804328965489,0.5684804328965489,12,12,24
validation,10,RIDGE,direct_rate,0.5550853576076213,0.75,0.75,12,12,24
validation,30,ALS,mse,0.9556585559514894,1.0261107250273533,1.0261107250273533,12,12,24
validation,30,ALS,mae,0.7553264526620506,0.7796914754404148,0.7796914754404148,12,12,24
validation,30,ALS,pair_accuracy,0.5580609094879319,0.564745331898283,0.564745331898283,12,12,24
validation,30,ALS,direct_rate,0.5550853576076213,0.75,0.75,12,12,24
validation,30,ALS_FM,mse,0.8826482762285336,0.8825446219267806,0.8825446219267806,12,12,24
validation,30,ALS_FM,mae,0.7377909659194535,0.7325913416132476,0.7325913416132476,12,12,24
validation,30,ALS_FM,pair_accuracy,0.5800797539768138,0.5818139778522101,0.5818139778522101,12,12,24
validation,30,ALS_FM,direct_rate,0.5550853576076213,0.75,0.75,12,12,24
validation,30,FM,mse,0.9121782291776072,0.9253938295764644,0.9253938295764644,12,12,24
validation,30,FM,mae,0.746870860801129,0.7464713633305178,0.7464713633305178,12,12,24
validation,30,FM,pair_accuracy,0.5689679407987689,0.5620491205684929,0.5620491205684929,12,12,24
validation,30,FM,direct_rate,0.5550853576076213,0.75,0.75,12,12,24
validation,30,GBT,mse,0.8599912871371044,0.8850528056726595,0.8850528056726595,12,12,24
validation,30,GBT,mae,0.7154948521064328,0.7200846993809962,0.7200846993809962,12,12,24
validation,30,GBT,pair_accuracy,0.565892435324039,0.5573586102520586,0.5573586102520586,12,12,24
validation,30,GBT,direct_rate,0.5550853576076213,0.75,0.75,12,12,24
validation,30,RIDGE,mse,0.9768126307692849,1.0225855000436828,1.0225855000436828,12,12,24
validation,30,RIDGE,mae,0.771851290722459,0.7876357729650237,0.7876357729650237,12,12,24
validation,30,RIDGE,pair_accuracy,0.5735636966623648,0.5705737540845214,0.5705737540845214,12,12,24
validation,30,RIDGE,direct_rate,0.5550853576076213,0.75,0.75,12,12,24
