k,group,method,users,mse,mae,pair_accuracy,pair_users,unique_movies,unique_rating_pairs,round_rating_instances
5,BEFORE_2000,ALS_FM,264,0.8356454845137431,0.7161641047456455,0.5808186557033326,228,5187,12242,20977
5,BEFORE_2000,FM,264,0.8459016572032999,0.7097585910239942,0.5743529056481708,228,5187,12242,20977
5,BEFORE_2000,GBT,264,0.8030709453057103,0.6819314051804631,0.5781772481255928,228,5187,12242,20977
5,BEFORE_2000,RIDGE,264,0.8786302499711619,0.7257196064566045,0.5786505916400797,228,5187,12242,20977
5,INPUT_ALL_UNSUPPORTED,ALS,13,1.3556940564604831,0.8355695593517692,0.5,13,4405,5441,7973
5,INPUT_ALL_UNSUPPORTED,ALS_FM,13,1.2946124073749259,0.858150215371485,0.5899209682229636,13,4405,5441,7973
5,INPUT_ALL_UNSUPPORTED,FM,13,1.2946124073749259,0.858150215371485,0.5899209682229636,13,4405,5441,7973
5,INPUT_ALL_UNSUPPORTED,GBT,13,1.4036978982486406,0.8482140304663014,0.5736012364662894,13,4405,5441,7973
5,INPUT_ALL_UNSUPPORTED,RIDGE,13,1.4904017544130352,0.891457587263107,0.6073282752840586,13,4405,5441,7973
5,INPUT_SOME_UNSUPPORTED,ALS,247,1.235355525571146,0.8569994898811104,0.5298304179658567,241,12512,38017,60780
5,INPUT_SOME_UNSUPPORTED,ALS_FM,247,0.9520208737378941,0.7591522838732022,0.567692730751631,241,12512,38017,60780
5,INPUT_SOME_UNSUPPORTED,FM,247,0.9656081014778309,0.7590820016635863,0.56555102190029,241,12512,38017,60780
5,INPUT_SOME_UNSUPPORTED,GBT,247,0.9367689346990934,0.7325775540364344,0.5699006801083398,241,12512,38017,60780
5,INPUT_SOME_UNSUPPORTED,RIDGE,247,1.0228619467484679,0.7771883253736832,0.5766010866933892,241,12512,38017,60780
5,ITEM_SUPPORTED,ALS,297,1.473838329140552,0.9571787490731515,0.5845261171863154,280,5326,23249,36694
